,Movies,Genre
46, India’s Most Wanted,"Action, Hindi, 2019"
47, Avengers: Endgame,"Superhero, Action, English, Hindi, Tamil, Telugu, 2019"
48, Inside Tirumala Tirupati,"Documentary, English, Hindi, Tamil, Bengali, Telugu, 2017"
49, Aadat,"Romance, Hindi, 2020"
50, Junglee,"Action, Hindi, 2019"
51, Geetha Govindam,"Romance, Tamil, 2018"
52, Sanak,"Action, Hindi, Tamil, Telugu, 2021"
53, Ek Lift Story,"Comedy, Romance, Hindi, 2021"
54, Exes,"Comedy, English, 2018"
55, De De Pyaar De,"Comedy, Hindi, 2019"
56, Prati Roju Pandage,"Comedy, Telugu, 2019"
57, Doctor Strange,"Superhero, Action, English, Hindi, Tamil, Telugu, 2016"
58, Girlfriend,"Romance, Bengali, 2018"
59, I Am Pregnant,"Drama, Hindi, 2017"
60, Plan Panni Pannanum,"Comedy, Romance, Tamil, 2021"
61, Bala,"Comedy, Hindi, 2019"
62, Kunjiramayanam,"Comedy, Malayalam, 2015"
63, Bhoot Police,"Horror, Comedy, Hindi, 2021"
64, Vikram Vedha,"Thriller, Hindi, 2017"
65, 1232 KMs,"Documentary, Hindi, Marathi, Tamil, Kannada, Bengali, Malayalam, Telugu, 2021"
66, Dishoom,"Action, Hindi, 2016"
67, Avengers: Infinity War,"Superhero, Action, English, Hindi, Tamil, Telugu, 2018"
68, Baahubali - The Beginning,"Action, Fantasy, Telugu, 2015"
69, Sagodharargal,"Action, Tamil, 2017"
70, Himmat,"Action, Bengali, 2016"
71, Pardon,"Drama, Hindi, 2020"
72, The Ice Age Adventures of Buck Wild,"Family, Adventure, Animation, Kids, English, 2022"
73, Angrezi Medium,"Drama, Hindi, 2020"
74, Marvel's The Avengers,"Superhero, Action, English, Hindi, Tamil, Telugu, 2012"
75, Devi,"Drama, Hindi, 2020"
76, Helicopter Eela,"Drama, Hindi, 2018"
77, Ispade Rajavum Idhaya Raniyum,"Romance, Tamil, 2019"
78, Marvel's Avengers: Age Of Ultron,"Superhero, Action, English, Hindi, Tamil, Telugu, 2015"
79, Hero,"Romance, Hindi, 2015"
80, Legends of Jagannath Puri,"Documentary, English, Hindi, Tamil, Bengali, Telugu, 2017"
81, Raavan,"Thriller, Hindi, 2010"
82, Raya and the Last Dragon,"Animation, Fantasy, Adventure, Kids, English, Hindi, Tamil, Telugu, 2021"
83, Bajrangi Bhaijaan,"Drama, Hindi, 2015"
84, Johny Johny Yes Appa,"Comedy, Malayalam, 2018"
85, Me Time,"Romance, English, 2014"
86, Akira,"Action, Hindi, 2016"
87, Thor: Ragnarok,"Superhero, Action, English, Hindi, Tamil, Telugu, 2017"
88, Dombivli Return,"Thriller, Drama, Hindi, Marathi, 2019"
89, S/o Satyamurthy,"Drama, Telugu, 2015"
90, A Gentleman,"Action, Hindi, 2017"
91, Sweater,"Drama, Bengali, 2019"
92, Hate Story 3,"Thriller, Hindi, 2015"
93, Luca,"Animation, Fantasy, Adventure, Kids, English, Hindi, Tamil, Telugu, 2021"
94, Ungalukkaga Oruvan,"Action, Drama, Tamil, 2019"
95, MS Dhoni: The Untold Story,"Biopic, Hindi, 2016"
96, Baaghi 2,"Action, Hindi, 2018"
97, Iron Man 3,"Superhero, Action, English, Hindi, Tamil, Telugu, 2013"
98, Haraamkhor,"Drama, Hindi, 2017"
99, Saamy 2,"Action, Telugu, 2018"
100, The Newly Weds,"Romance, English, 2020"
101, Ouch,"Comedy, Hindi, 2016"
102, Jamai Badal,"Comedy, Bengali, 2019"
103, Evanukku Sariyana Aalu Illai,"Action, Tamil, 2020"
104, Iron Man 2,"Superhero, Action, English, Hindi, Tamil, Telugu, 2010"
105, The Return of Abhimanyu,"Action, Hindi, 2018"
106, The Past,"Horror, Hindi, 2018"
107, Iron Man,"Superhero, Action, English, Hindi, Tamil, Telugu, 2008"
108, VIP 2 Lalkar,"Drama, Hindi, 2017"
109, Panga,"Drama, Hindi, 2020"
110, Back to the Titanic,"Documentary, English, Hindi, Tamil, Bengali, Telugu, 2020"
111, Free Guy,"Action, Comedy, English, Hindi, Tamil, Telugu, 2021"
112, Guru,"Action, Marathi, 2016"
113, Jolly LLB 2,"Drama, Hindi, 2017"
114, Dolly Ki Doli,"Comedy, Hindi, 2015"
115, Captain America: Civil War,"Superhero, Action, English, Hindi, Tamil, Telugu, 2016"
116, DJ [Duvvada Jagannadham],"Action, Tamil, 2017"
117, Khatarnak Policewala,"Action, Hindi, 2017"
118, Pisachi,"Horror, Telugu, 2015"
119, Boomerang,"Thriller, Hindi, 2019"
120, Thor,"Superhero, Action, English, Hindi, Tamil, Telugu, 2011"
121, Jio Pagla,"Comedy, Bengali, 2017"
122, Inttelligent,"Action, Hindi, 2018"
123, Jolly LLB,"Comedy, Hindi, 2013"
124, Chekka Chivantha Vaanam,"Crime, Tamil, 2018"
125, Galipata,"Romance, Kannada, 2008"
126, Thor: The Dark World,"Superhero, Action, English, Hindi, Tamil, Telugu, 2013"
127, Maayavan,"Action, Hindi, 2017"
128, June,"Drama, Malayalam, 2019"
129, Between The Gates,"Drama, English, 2018"
130, Bang Bang,"Action, Hindi, 2014"
131, Gautamiputra Satakarni,"Action, Telugu, 2017"
132, Khuda Haafiz,"Action, Romance, Hindi, 2020"
133, You & Me - Bengali Short Film,"Drama, Bengali, 2020"
134, Richie,"Crime, Hindi, 2017"
135, Arjun Reddy,"Romance, Hindi, 2017"
136, Megafestivals: Ganpati,"Documentary, English, Marathi, Hindi, Tamil, Bengali, Telugu, 2019"
137, Frozen II,"Animation, Musical, Adventure, Kids, English, Hindi, Tamil, Telugu, 2019"
138, Housefull 3,"Comedy, Hindi, 2016"
139, Gutargu,"Romance, Hindi, 2017"
140, Black Widow,"Superhero, Action, Science Fiction, English, Hindi, Tamil, Kannada, Malayalam, Telugu, 2021"
141, Vinaya Vidheya Rama,"Action, Tamil, 2019"
142, Inside Indian Naval Academy,"Documentary, English, Hindi, Tamil, Bengali, Telugu, 2017"
143, Khaidi No. 150,"Action, Hindi, 2017"
144, See You On the Other Side,"Thriller, English, 2021"
145, Chhuri,"Comedy, Hindi, 2021"
146, Captain America: The First Avenger,"Superhero, Action, English, Hindi, Tamil, Telugu, 2011"
147, Main Kaun Hoon,"Drama, Hindi, 2018"
148, Neerja,"Biopic, Hindi, 2016"
149, Gang Leader,"Comedy, Drama, Tamil, 2019"
150, Bhadram,"Thriller, Telugu, 2014"
151," Kadha, Samvidhanam Kunchakko","Drama, Malayalam, 2009"
152, The Lion King,"Fantasy, Adventure, Musical, English, Hindi, Tamil, Telugu, 2019"
153, Kahaani,"Thriller, Drama, Hindi, 2012"
154, Hoichoi Unlimited,"Comedy, Bengali, 2018"
155, Maragatha Nanayam,"Comedy, Hindi, 2017"
156, Moana,"Animation, Musical, Adventure, Kids, English, Hindi, Tamil, 2016"
157, Singham Returns,"Action, Hindi, 2014"
158, Parampara,"Drama, Marathi, 2019"
159, Bobby Jasoos,"Drama, Hindi, 2014"
160, Captain Marvel,"Superhero, Action, English, Hindi, Tamil, Telugu, 2019"
161, Gang,"Action, Telugu, 2018"
162, Prem Ratan Dhan Payo,"Romance, Hindi, 2015"
163, Kabir,"Thriller, Bengali, 2018"
164, Highway,"Drama, Hindi, 2014"
165, Guardians Of The Galaxy Vol. 2,"Action, English, Hindi, Tamil, Telugu, 2017"
166, O Kadhal Kanmani,"Romance, Tamil, 2015"
167, Insidious,"Horror, Hindi, 2011"
168, Gayatri,"Action, Hindi, 2018"
169, Guardians Of The Galaxy,"Superhero, Action, English, Hindi, Tamil, Telugu, 2014"
170, Nitishastra,"Action, Hindi, 2018"
171, Ek Jaise,"Romance, English, 2016"
172, Girl in Red,"Thriller, Hindi, 2017"
173, Extreme Flight: The Indian Air Force,"Documentary, English, Hindi, Tamil, Bengali, Telugu, 2019"
174, Annanukku Jey,"Comedy, Tamil, 2018"
175, Cash,"Comedy, Hindi, 2021"
176, Maratha Mandir Cinema,"Drama, Romance, Hindi, 2021"
177, U Turn,"Drama, Hindi, 2021"
178, Paap Ki Kamai,"Action, Hindi, 2015"
179, Chaukat,"Drama, Marathi, 2016"
180, Nuvvu Naaku Nachav,"Romance, Telugu, 2001"
181, Masaan,"Drama, Hindi, 2015"
182, Anbarivu,"Family, Action, Tamil, Kannada, Malayalam, Telugu, 2022"
183, Sanam Re,"Romance, Hindi, 2016"
184, DJ,"Action, Bengali, 2017"
185, Black Panther,"Superhero, Action, English, Hindi, Tamil, Telugu, 2018"
186, Kaabil,"Thriller, Hindi, 2017"
187, Last Time,"Romance, English, 2019"
188, 2 States,"Romance, Hindi, 2014"
189, Hungama 2,"Comedy, Hindi, 2021"
190, Detective,"Thriller, Telugu, 2017"
191, Drishyam,"Thriller, Hindi, 2015"
192, Tubelight,"Drama, Hindi, 2017"
193, Ohm Shanthi Oshana,"Romance, Malayalam, 2014"
194, The Nutcracker And The Four Realms,"Family, Kids, English, Hindi, Tamil, Telugu, 2018"
195, Santrash,"Thriller, Bengali, 2003"
196, Phillauri,"Romance, Hindi, 2017"
197, Talvar,"Drama, Hindi, 2015"
198, Jaya Janaki Nayaka,"Romance, Action, Tamil, 2017"
